name,objectID,picIDs,picURLs,categoryName,typeName,period,dynasty,year
清康熙景德镇窑霁红釉葫芦瓶,d8dfa9a1430847dfbb9baacbff349e71,3c3a4d5a-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1626.jpg,瓷器,瓶,清,康熙,1691.5
清雍正景德镇窑白釉瓶,d9284f27adfd405b8bc7a87c69ae5008,41d67d3f-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1846.jpg,瓷器,瓶,清,雍正,1728.5
清康熙景德镇窑青花龙纹碗,da2c421f4c2f4ca59c561a4bc93b33a8,3822b5e2-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1464.jpg,瓷器,碗,清,康熙,1691.5
宣德款霁蓝杯,da639508a3d94afb927be6acf0d32ad0,691b4d68-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.4070.jpg,瓷器,杯,NA,宣德,1430.0
清乾隆景德镇窑粉彩财神像,da9444523f8c489f969525e4a492881b,3f9cd32a-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1760.jpg,瓷器,像,清,乾隆,1765.5
清同治款景德镇窑三彩龙纹盘,dacc242cc641460a9fad1feaaebd348c,35d431a0-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1369.jpg,瓷器,盘,清,同治,1868.0
清康熙景德镇窑五彩花卉纹罐,db260b6344de440abbc22c50938667d4,3a9095da-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1561.jpg,瓷器,罐,清,康熙,1691.5
清乾隆款景德镇窑窑变釉石榴尊,db31c4a15d0a418789ee85a39b246e96,41713b9d-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1830.jpg,瓷器,尊,清,乾隆,1765.5
清康熙景德镇窑青花博古图盒,db5a8545b5f44c95928d780230b6efcd,3f11472f-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1736.jpg,瓷器,盒,清,康熙,1691.5
清雍正款景德镇窑粉彩三果纹碗,db75a9fd998c41358dfb43f8bd736f39,4323fd90-76f2-11e9-85ba-4ccc6a492333,http://files.bjmuseum.org.cn/baijing/09shoubo/11010221800037/THUMB/40_4.1900.jpg,瓷器,碗,清,雍正,1728.5
